categorie_de_produit,sous_categorie_de_produit,risques_encourus_par_le_consommateur,nom_de_la_marque_du_produit,date_debut_fin_de_commercialisation,distributeurs,motif_du_rappel
"Vêtements, Mode, EPI","Vêtements, textiles, accessoires de mode",Arrêt respiratoire,CREEKS,Du 24/08/2022 au 10/11/2022,LA HALLE,Risque de détachement du curseur et de la tirette du zip
"Vêtements, Mode, EPI","Vêtements, textiles, accessoires de mode",Arrêt respiratoire,PAT ET RIPATON,Du 08/07/2022 au 27/10/2022,LA HALLE,Risque de détachement du curseur et de la tirette du zip
"Vêtements, Mode, EPI","Vêtements, textiles, accessoires de mode",Arrêt respiratoire,PAT ET RIPATON,Du 05/08/2022 au 04/11/2022,LA HALLE,Risque de détachement du curseur et de la tirette du zip
"Vêtements, Mode, EPI","Vêtements, textiles, accessoires de mode",Arrêt respiratoire,PAT ET RIPATON,Du 10/09/2022 au 10/11/2022,LA HALLE,Risque de détachement du curseur et de la tirette du zip
"Vêtements, Mode, EPI","Vêtements, textiles, accessoires de mode",Arrêt respiratoire,PAT ET RIPATON,Du 06/07/2022 au 10/11/2022,LA HALLE,Risque de détachement du curseur et de la tirette du zip
"Vêtements, Mode, EPI","Vêtements, textiles, accessoires de mode",Arrêt respiratoire,PAT ET RIPATON,Du 06/07/2022 au 10/11/2022,LA HALLE,Risque de détachement du curseur et de la tirette du zip
Alimentation,Aliments diététiques et nutrition,Présence de substance interdite,Laboratoire Beauchamp,Du 21/01/2021 au 29/08/2022,e-commerce (Laboratoire beauchamp),Ce rappel fait suite à des analyses révélant la présence de dérivés hydroxyanthracéniques interdits
Alimentation,Viandes,Listeria monocytogenes ,FERNAND DUSSERT,Du 05/09/2022 au 08/11/2022,DISTRIBUTEURS,Dénombrement Listéria Monocytogenes inférieur à10
Alimentation,Viandes,Anomalie d'étiquetage,AUCHAN,Du 03/11/2022 au 18/11/2022,"Auchan
Schiever",Erreur de DLC apposée sur l'alvéole du produit
Alimentation,Herbes et épices,Bacillus cereus,Les Bonnes Epices de Mr Maurice,Du 08/08/2022 au 18/10/2022,CARREFOUR - SUPER U - LECLERC - O MARCHE - CASINO - DISCOUNT CENTER - COLIPRIX - ECOMARKET - CENTRALE EDOUARD - PROMOCASH,Investigations menées en raison de la détection de bactéries (Bacillus Cereus) ont abouti au retrait et rappel par précaution de ce produit.
Alimentation,Herbes et épices,Bacillus cereus,Les Bonnes Epices de Mr Maurice,Du 08/08/2022 au 18/10/2022,CARREFOUR - SUPER U - LECLERC - O MARCHE - CASINO - DISCOUNT CENTER - COLIPRIX - ECOMARKET - CENTRALE EDOUARD - PROMOCASH,Investigations menées en raison de la détection de bactéries (Bacillus Cereus) ont abouti au retrait et rappel par précaution de ce produit.
Alimentation,Herbes et épices,Bacillus cereus,LEADER PRICE,Du 08/08/2022 au 18/10/2022,LEADER PRICE,Investigations menées en raison de la détection de bactéries (Bacillus Cereus) ont abouti au retrait et rappel par précaution de ce produit.
Bébés-Enfants (hors alimentaire),Jouets,Blessures externes,BOY N CO,Du 02/09/2020 au 01/11/2022,Centrakor + Maxi Bazar + Autres commerçants indépendants - cf liste ci-jointe,Risque de blessures causé par le fait de pouvoir lancer des projectiles improvisés par le jouet
Alimentation,Viandes,Listeria monocytogenes ,l’Atelier Charcuterie Tradizioni D’Italia,Du 20/10/2022 au 16/11/2022,E.LECLERC.,Présence de Listeria monocytogenes
Alimentation,Plats préparés et snacks,"Inertes (verre, métal, plastique, papier, textile…)",PPNP (Préparé Par Nos Pros),Du 07/11/2022 au 18/11/2022,SUPERMARCHÉ MATCH ARRAS,Présence éventuelle de corps étranger (métallique)
Autres,Divers,Blessures externes Incendie,HORSEMOI,Du 01/01/2021 au 13/07/2022,www.horsemoi.fr,"Le motif du rappel est dû à un étiquetage négligeant les risques inhérents à l'utilisation du produit, produit non conforme et dangereux (produit inflammable et risque d'allergie)"
Alimentation,Fruits et légumes,Dépassement des limites autorisées de pesticides,Combilo (fournisseur),Du 04/10/2022 au 06/10/2022,"Restauration : Restaurant la Diligence (57635 Hérange), Brasserie au Diable Bleu (67000 Strasbourg)",Détection d'un taux trop élevé de produit phytosanitaire dans les asperges
Alimentation,Autres,Anomalie d'étiquetage,Jardin Bio Etic,Du 02/11/2022 au 30/12/2022,"Intermarché, Cora, Auchan, Leclerc, Carrefour",Erreur de marquage de la date limite de consommation indiquée au 30 décembre 2022 pour un produit en DLC au 30 novembre 2022
Alimentation,Autres,Anomalie d'étiquetage,Carte Nature,Du 02/11/2022 au 30/12/2022,"ACCORD BIO, LA VIE SAINE, VITAFRAIS, BIOCOOP, NATUREO, BIODIS, COOPERATIVE HERMES,HALLE BIO D OCCITANIE,NOGASP",Erreur de marquage de la date limite de consommation indiquée au 30 décembre 2022 pour un produit en DLC au 30 novembre 2022
Maison-Habitat,Matériel de cuisine (sauf électroménager),Dépassement de seuils de sécurité,TORRENT CERAMICAS,Du 12/01/2021 au 09/11/2022,"Promocash
Métro Cash & Carry
Novotel
GIF
Sogemat
Calle
...",Non conforme - dangereux
Hygiène-Beauté,Cosmétiques,Dommages internes,L'ANGELICA,Du 01/06/2022 au 22/11/2022,Magasins à enseigne  NOZ,Détection d'une substance interdite non indiquée sur l'étiquette
Alimentation,Viandes,Autres contaminants biologiques,Monoprix Gourmet,Du 07/10/2022 au 21/11/2022,MONOPRIX,Détection d’Entérotoxines staphylococciques
Alimentation,Fruits et légumes,"Eléments traces métalliques (métaux lourds : plomb, mercure, cadmium...)",DRISCOLL'S,Du 14/11/2022 au 15/11/2022,Grossiste et GMS,Détection de plomb
Alimentation,Viandes,Staphylococcus aureus (agent responsable d'intoxination staphylococcique),Charcuterie de la Thur,Du 24/10/2022 au 14/11/2022,"Hypermarché Cora Colmar, La Cigogne (Marseille), Boucherie Edel (Guewenheim), Boucherie Himber (Illfurth), Boucherie Maurice (Dol de Bretagne), Auchan Ferrette, Proxi Oberbruck",Présence de staphylocoques à coagulase positive
Automobiles et moyens de déplacement,Engins de déplacement personnel,Blessures externes,SPEEDTROTT,Depuis le 28/10/2021,"Distributeurs SPEEDTROTT :  voir liste des points de vente ci-jointe

Vente en ligne sur www.gyromax.fr et sur AMAZON",Le mécanisme de blocage peut se déverrouiller et entrainer le repliage de la trottinette lors de l’utilisation
Alimentation,Produits sucrés,Substances allergisantes non déclarées,Réauté Chocolat,Du 13/10/2022 au 07/11/2022,16 magasins Réauté Chocolat,présence de protéines de lait non étiquetée
Maison-Habitat,Articles imitant les denrées alimentaires,Dommages internes,peau d'âne,Du 01/06/2022 au 30/06/2022,"TABLE ET DECO //
ECLAT BEAUTE
INSTITUT ESPACE COSY
SASU CADEAU MAESTRO
*UHPS ETADIS
*UHPS BAILLEUL - SAS FLANDREDIS
JOLIE MOME
SARL TOUS AU JARDIN //
MLG BRETAGNE LIVRE - POM
*UHPS ETADIS
*LE COMPTOIR KDO",non conforme et dangereux
Maison-Habitat,Articles de décoration,Arrêt respiratoire,Crème de bougie,Du 01/10/2021 au 21/11/2022,"Crème de bougie, Jangalee  création :  0672832340",Bougie non conforme et dangereuse
Alimentation,Viandes,Escherichia coli shiga toxinogène (STEC),BOUCHERIES ANDRE,Du 09/11/2022 au 14/11/2022,"Boucherie André (Rillieux, Vaulx en Velin, Isle d'Abeau, Champagne, Villefranche, Tignieu, Vinzelles, Bourg en Bresse)",Détection en autocontrôle d'Escherichia coli O157:H7
Maison-Habitat,Matériel de cuisine (sauf électroménager),Dépassement de seuils de sécurité Intoxication,Leonardo,Du 01/09/2021 au 31/08/2022,ZODIO,"Migration d'éléments organiques volatils
Inaptitude au contact alimentaire"
Alimentation,Lait et produits laitiers,Listeria monocytogenes ,ferme de la fosse à l'eau,Du 28/10/2022 au 18/11/2022,"collège , fromagerie, biocoop, épicerie fine,",Détection de listéria
Alimentation,Produits de la pêche et d'aquaculture,Escherichia coli,/,Du 05/11/2022 au 07/11/2022,Auchan Luxeuil,présence de E Coli
Alimentation,Fruits et légumes,Dépassement des limites autorisées de pesticides,TERSOL,Du 17/10/2022 au 21/11/2022,Commerce de détails et boutiques diverses. Voir affichettes en magasin.,La teneur en Chlorpyrifos (-ethyl) observée sur cet échantillon est supérieure à la LMR retenue par la législation européenne pour ce produit.
"Appareils électriques, Outils",Outils à main,Blessures externes,DEXTER,Du 01/02/2021 au 17/11/2022,"LEROY MERLIN France
LEROY MERLIN Espagne
Weldom France","Non-Conforme, Défaut du système de freinage."
Alimentation,Autres,"Inertes (verre, métal, plastique, papier, textile…)",CHABRIOR,Du 19/10/2022 au 19/10/2022,INTERMARCHE,Présence potentielle de morceaux de verre dans le produit
Alimentation,Fruits et légumes,Dépassement des limites autorisées de pesticides,SANS MARQUE,Du 17/10/2022 au 16/11/2022,Commerce de détails et boutiques diverses. Voir affichettes en magasin.,La teneur en Chlorpyrifos (-ethyl) observée sur cet échantillon est supérieure à la LMR retenue par la législation européenne pour ce produit.
Alimentation,Fruits et légumes,Dépassement des limites autorisées de pesticides,NUMBER ONE,Du 31/10/2022 au 23/11/2022,Commerce de détails et boutiques diverses. Voir affichettes en magasin.,La teneur en Chlorpyrifos (-ethyl) observée sur cet échantillon est supérieure à la LMR retenue par la législation européenne pour ce produit.
Maison-Habitat,Matériel de cuisine (sauf électroménager),Intoxication,Habitat,Du 01/09/2019 au 14/11/2022,Habitat,Libération de substances lors de la cuisson des aliments à 100°C dépassant les seuils réglementaire de sécurité.
Bébés-Enfants (hors alimentaire),Jouets,Intoxication,Placote,Du 14/04/2022 au 22/11/2022,"Site internet Placote.fr
Amazon 
Certains détaillants de jouets",Le revêtement vert du dé à pochette pourrait contenir du plomb au-delà des limites prescrites par la norme NF EN 71-3.
Alimentation,Viandes,Salmonella spp ,Vallégrain,Du 17/11/2022 au 18/11/2022,SUPER U et LECLERC,Présence de Salmonelle détectée
Alimentation,"Cacao, café et thé",Dépassement des limites autorisées de pesticides,Epices.com,Du 03/03/2022 au 02/06/2022,Epices.com,"En raison d'un défaut de qualité de la menthe verte biologique d'un de nos fournisseurs, nous avons décidé de rappeler les produits concernés.
Le défaut de qualité est dû à quelques irrégularités dans une analyse et à la découverte de perchlorate"
"Appareils électriques, Outils","Appareils électriques, électroménager",Choc électrique,Algam Lighting,Depuis le 01/02/2021,Magasins spécialisés,"Dans le cadre de notre démarche qualité et sécurité, notre service après-vente a identifié un potentiel risque concernant ce produit"
Alimentation,"Cacao, café et thé",Dépassement des limites autorisées de pesticides,Epices.com,Du 03/03/2022 au 29/09/2022,Epices.com,"En raison d'un défaut de qualité de la menthe verte biologique d'un de nos fournisseurs, nous avons décidé de rappeler les produits concernés.
Le défaut de qualité est dû à quelques irrégularités dans une analyse et à la découverte de perchlorate"
Alimentation,"Cacao, café et thé",Dépassement des limites autorisées de pesticides,Epices.com,Du 03/03/2022 au 26/07/2022,Epices.com,"En raison d'un défaut de qualité de la menthe verte biologique d'un de nos fournisseurs, nous avons décidé de rappeler les produits concernés.
Le défaut de qualité est dû à quelques irrégularités dans une analyse et à la découverte de perchlorate"
Alimentation,"Cacao, café et thé",Autres contaminants chimiques,Txperience,Du 04/04/2022 au 31/10/2022,"Txperience 13 Avenue Marius Cartier 52100 Saint-Dizier
www.txperience.fr",Taux de perchlorate plus élevé que la norme réglementaire dans la menthe contenue dans ce mélange.
Alimentation,"Cacao, café et thé",Autres contaminants chimiques,Txperience,Du 04/04/2022 au 28/10/2022,"Txperience 
13 Avenue Marius Cartier
52100 Saint-Dizier
WWW.txperience.fr",Présence de perchlorate plus élevé que la norme réglementaire dans la menthe contenue dans ce mélange.
Alimentation,"Cacao, café et thé",Autres contaminants chimiques,Txperience,Du 04/04/2022 au 31/07/2022,"Txperience
13 Avenue Marius Cartier 
52100 Saint-Dizier
www.txperience.fr",Présence d'un taux plus élevé que la norme réglementaire de perchlorate constaté dans la menthe verte présente dans ce mélange.
Alimentation,Aliments diététiques et nutrition,Présence de substance interdite,Rue des Plantes,Du 04/07/2022 au 26/10/2022,"Rue des plantes.com
Rue des Plantes Retail","Suite analyse de la poudre de Séné, mise en évidence de la présence d'Aloe-émodine à des taux supérieurs aux limites autorisées"
Alimentation,Plats préparés et snacks,Substances allergisantes non déclarées,Justin Bridou,Du 15/11/2022 au 23/11/2022,"Novo, Leclerc, Hyper/Super U","Manque de lisibilité des mentions d’étiquetage et notamment des allergènes lait, gluten (blé), sésame, moutarde, soja et oeufs."
Alimentation,Plats préparés et snacks,Substances allergisantes non déclarées,Justin Bridou,Du 09/11/2022 au 23/11/2022,"Carrefour, Auchan, Leclerc, Hyper/Super U","Manque de lisibilité des mentions d’étiquetage et notamment des allergènes lait, gluten (blé), sésame, moutarde, soja et œufs."
Alimentation,Plats préparés et snacks,Substances allergisantes non déclarées,Justin Bridou,Du 11/11/2022 au 23/11/2022,"Carrefour, Auchan, Leclerc, Intermarché, Hyper/Super U, Alphaprim","Manque de lisibilité des mentions d’étiquetage et notamment des allergènes lait, gluten (blé), sésame, moutarde, soja et oeufs."
Alimentation,Plats préparés et snacks,Substances allergisantes non déclarées,Justin Bridou,Du 09/11/2022 au 23/11/2022,"Carrefour, Auchan, Leclerc, Hyper/Super U, Alphaprim","Manque de lisibilité des mentions d’étiquetage et notamment des allergènes lait, gluten(blé et seigle), sésame, moutarde, soja et oeufs."
Alimentation,Plats préparés et snacks,Listeria monocytogenes ,Madrange,Du 18/11/2022 au 07/12/2022,Auchan et Carrefour,présence de Listeria monocytogenes
Alimentation,"Soupes, sauces et condiments","Inertes (verre, métal, plastique, papier, textile…)",Corbeille d'Or,Du 09/11/2022 au 25/11/2022,"Carrefour, Leclerc, Run Market, Leader Price, Super U, Hyper U, Promocash, U Express",Suspicion présence verre
Alimentation,Produits de la pêche et d'aquaculture,"Toxines endogènes : histamine (poissons, fromages, boissons alcoolisées, charcuteries)",MOUETTES D'ARVOR,Du 16/11/2022 au 23/11/2022,"Leclerc, Carrefour, Géant Casino, Intermarché",Taux d'histamine non conforme
Alimentation,"Cacao, café et thé",Autre risque,De Neuville,NA,De Neuville,"Présence de sucres, dépassement du seuil réglementaire de 0.5g/100g"
Alimentation,Viandes,Listeria monocytogenes ,aux spécialités réunies,Du 15/11/2022 au 18/11/2022,"pas de distributeurs uniquement des clients grossistes, ou détaillants (épiceries, bouchers, charcutiers).",Présence du germe Listeria Monocytogenes avec un dénombrement < 50ufc/g
Alimentation,Céréales et produits de boulangerie,Non inertes (insectes larves etc),CHABRIOR,Du 24/11/2022 au 25/11/2022,INTERMARCHE,Ce rappel fait suite à un risque de présence de corps étranger végétal (paille de graine de lin).
Alimentation,Viandes,Salmonella spp ,Sans marque,Du 04/11/2022 au 05/11/2022,BOUTIQUE DELBE TRAITEUR,Présence de Salmonelle
Alimentation,Produits de la pêche et d'aquaculture,"Toxines endogènes : histamine (poissons, fromages, boissons alcoolisées, charcuteries)",RONDE DES MERS,Du 17/11/2022 au 25/11/2022,E.LECLERC,Risque de présence d'histamine
Alimentation,Produits sucrés,Substances allergisantes non déclarées,CRUZILLES,Du 24/08/2022 au 16/11/2022,Détaillants,"Présence de protéines de lait dans la pâte de fruit noix de coco, alors que l'allergène n'est pas mentionné sur l'étiquetage"
Alimentation,Lait et produits laitiers,Listeria monocytogenes ,ferme de la fosse à l'eau,Du 16/11/2022 au 25/11/2022,biocoop epicerie  fromagerie restaurant,détection de listéria
Alimentation,Lait et produits laitiers,Listeria monocytogenes ,ferme de la fosse à l'eau,Du 16/11/2022 au 25/11/2022,epicerie fromagerie restaurant,présence de listeria
Alimentation,Aliments diététiques et nutrition,Anomalie d'étiquetage Autre risque,Compalia,Du 23/09/2021 au 23/11/2022,Vente aux particuliers,Teneur en Monacolines trop élevée pour rapport à la réglementation 2022/860.
Alimentation,Produits de la pêche et d'aquaculture,"Toxines endogènes : histamine (poissons, fromages, boissons alcoolisées, charcuteries)","Crustarmor, Crustine",Du 02/11/2022 au 25/11/2022,"Intermarché, Intermarché Contact, Super U, Leclerc, Carrefour, Roi de Bretagne, Cavavin, Dart, Poissonnerie du Méné.
Distrivert, Terre de l'ouest",Taux non conforme d'histamine dans la matière première sardine
Alimentation,Produits sucrés,Patuline,Leader Price,Du 17/11/2022 au 26/11/2022,"LEADER PRICE et réseaux de distribution de Leader Price, CASINO, VIVAL, SPAR et réseaux de distribution de CASINO",Présence de patuline>25 microgrammes/kg
Alimentation,Céréales et produits de boulangerie,"Inertes (verre, métal, plastique, papier, textile…)",sans marque,Du 02/11/2022 au 23/11/2022,VOIR LE FICHIER JOINT,suspicion de présence de corps étrangers : plastique dur blanc
Alimentation,Céréales et produits de boulangerie,"Inertes (verre, métal, plastique, papier, textile…)",sans marque,Du 02/11/2022 au 23/11/2022,VOIR LE FICHIER JOINT,suspicion de présence de corps étrangers : plastique dur blanc
Alimentation,Céréales et produits de boulangerie,"Inertes (verre, métal, plastique, papier, textile…)",sans marque,Du 02/11/2022 au 23/11/2022,VOIR LE FICHIER JOINT,suspicion de présence de corps étrangers : plastique dur blanc
Alimentation,Céréales et produits de boulangerie,"Inertes (verre, métal, plastique, papier, textile…)",sans marque,Du 02/11/2022 au 23/11/2022,VOIR LE FICHIER JOINT,suspicion de présence de corps étrangers : plastique dur blanc
Alimentation,Céréales et produits de boulangerie,"Inertes (verre, métal, plastique, papier, textile…)",sans marque,Du 02/11/2022 au 23/11/2022,VOIR LE FICHIER JOINT,suspicion de présence de corps étrangers : plastique dur blanc
Alimentation,Plats préparés et snacks,Salmonella spp ,Foodmaker,Du 23/11/2022 au 23/11/2022,MONOPRIX CAUMARTIN - 56 rue Caumartin 75009 PARIS,Détection de Salmonelle
Alimentation,Viandes,Salmonella spp ,Monoprix,Du 22/11/2022 au 23/11/2022,Monoprix,Détection de Salmonelle
Alimentation,Viandes,Salmonella spp ,La Belle Prairie,Du 25/11/2022 au 03/12/2022,TSA VIANDES,Presence de salmonelle
"Appareils électriques, Outils","Appareils électriques, électroménager",Incendie,VOLTMAN,Du 25/10/2021 au 17/11/2022,"APEX DISTRICO, BRICO LECLERC, BRICOMARCHE, BRICORAMA, COFAQ, GEDIMAT, LES BRICONAUTES, MR BRICOLAGE, ADEO MARKETPLACE SERVICES, AMAZON, BRICOPRIVE, MANO MANO, DARTY, RUE DU COMMERCE",Erreur de câblage interne pouvant entrainer un défaut de mise en sécurité de l'appareil.
Alimentation,Oeufs et produits à base d'oeufs,Salmonella spp  Anomalie d'étiquetage,Oeufs bio,NA,"Marché de Vaise Valmy à Lyon 
Marché de Lyon Montchat 
Marché de Lyon St Jean 
Marché de Lyon Montplaisir 
Marché de Grenoble Europole 
Marché de Villefontaine 
Marché de Bourgoin","Présence de salmonelles
Anomalie d'étiquetage"
Alimentation,Aliments pour bébés,Autres contaminants chimiques,Les Tilapins de Casino BIO,Du 24/05/2022 au 29/11/2022,"CASINO, VIVAL, SPAR et réseaux de distribution de Casino",Teneur en nitrate supérieur à 200ppm
Hygiène-Beauté,Cosmétiques,Arrêt respiratoire,Heartland Fragrance,Du 21/03/2022 au 15/09/2022,"Boutique La Case à Bulles 4, rue Espert 11430 GRUISSAN","Savon jouet ne mentionnant pas le marquage CE
Produit  non conforme et dangereux"
Bébés-Enfants (hors alimentaire),Jouets,Arrêt respiratoire,Auzou,Depuis le 01/05/2020,voir la liste des points de vente ci-dessous,La couture de certains boutons de certaines peluches lâchent trop facilement.
Alimentation,Aliments pour bébés,Autres contaminants chimiques,AUCHAN,Du 23/05/2022 au 30/11/2022,Magasins Auchan et toute autre enseigne commercialisant les produits à marque Auchan,Dépassement de la teneur en nitrate
Alimentation,Aliments pour bébés,Autres contaminants chimiques,BIO VILLAGE BEBE,Du 03/05/2022 au 25/11/2022,E.LECLERC.,Risque de présence de nitrates
Alimentation,"Cacao, café et thé",Autre risque,Castelain,NA,Castelain,"Présence de sucres, dépassement du seuil réglementaire de 0.5g/100g"
Alimentation,Autres,Salmonella spp ,YARDEN,Du 21/11/2022 au 29/11/2022,VOIR FICHIER PDF,possible contamination par Salmonella
Alimentation,Aliments pour bébés,Autres contaminants chimiques,My Carrefour Baby Bio,Du 20/05/2022 au 30/11/2022,Carrefour,Dépassement du seuil réglementaire en nitrates
Alimentation,Viandes,Salmonella spp ,L&OBAYLE,Du 23/11/2022 au 30/11/2022,"IciPrésent, PourdeBon, Maison BAYLE",présence de Salmonelles
Alimentation,Aliments pour bébés,Autres contaminants chimiques,nature bio,Du 20/06/2022 au 23/11/2022,Cora - Migros,Dépassement réglementaire du taux de nitrates
Alimentation,"Soupes, sauces et condiments",Substances allergisantes non déclarées,Monoprix,Du 28/11/2022 au 30/11/2022,Monoprix,"La  Soupe Thaï  a été emballée dans un emballage de  Soupe Potimarron , qui ne mentionne pas la présence de crevette et de céleri."
Sports-loisirs,Equipements de sports et de loisirs,Incendie Intoxication,Rock Empire,Du 15/12/2017 au 18/11/2022,La baoutique / Le yéti / Sports Loisirs Equipement,Étiquette non conforme : absence des mentions de danger Liquide et vapeurs très inflammables Peut provoquer une allergie cutanée Peut provoquer somnolences ou vertiges Provoque une sévère irritation des yeux et conseils de prudence.
Alimentation,Produits de la pêche et d'aquaculture,"Inertes (verre, métal, plastique, papier, textile…)",U,NA,Magasins U,Suspicion de présence de corps étranger
Alimentation,Aliments pour bébés,Autres contaminants chimiques,Pommette,Du 08/06/2022 au 25/11/2022,INTERMARCHE,dépassement de la teneur en nitrates
Bébés-Enfants (hors alimentaire),Jouets,Intoxication,Sun & Fun,Du 03/03/2022 au 25/11/2022,"MINI FOUINE
ESPACE SAVOYARD",Le jouet Baguette bulles de savon est non conforme du fait d'un dénombrement de la flore bactériologique aérobie supérieur au taux fixé par les recommandations du “NB-TOYS”.
Alimentation,Plats préparés et snacks,Substances allergisantes non déclarées,Blini,Depuis le 24/11/2022,"Auchan
Intermarché
GALEC",Erreur de conditionnement : allergène lait non spécifié
Hygiène-Beauté,Cosmétiques,Blessures externes,ORLANE,Du 23/08/2019 au 01/01/2022,"magasin, pharmacie",presence de HICC
Hygiène-Beauté,Cosmétiques,Blessures externes,ORLANE,Du 23/08/2019 au 01/10/2020,"magasin, pharmacie",presence de HICC
Hygiène-Beauté,Cosmétiques,Blessures externes,ORLANE,Du 23/08/2019 au 01/11/2019,"magasin, pharmacie",presence de HICC
Autres,Divers,Blessures externes,CLEAN CARAVANING,Du 17/01/2022 au 13/10/2022,Magasins d'articles pour véhicules de loisirs / concessionnaires de camping-cars / sites internet spécialisés dans la vente d'accessoires pour camping-cars,"Flacon non conforme au motif : absence de l'indice tactile de danger détectable au toucher (article 35 et annexe II, point 3.2.1 du règlement n° 1272/2008)"
Autres,Divers,Blessures externes,CLEAN BOAT,Du 17/01/2022 au 13/10/2022,Magasins d'articles de sports / Concessionnaires de bateaux / sites internet spécialisés dans la vente d'accessoires et produits d'entretien pour bateaux,"Flacon non conforme au motif : absence de l'indice tactile de danger détectable au toucher (article 35 et annexe II, point 3.2.1 du règlement n° 1272/2008)"
"Vêtements, Mode, EPI","Vêtements, textiles, accessoires de mode",Blessures externes Dommages internes,ZARA HOME,Du 11/07/2022 au 24/11/2022,Dans certains magasins Zara Home et sur les sites internet français de Zara France et Zara Home france.,"Dans certains cas, les attaches(pressions) du vêtement peuvent se désolidariser, s'enlever  suite à une pression dessus"
Bébés-Enfants (hors alimentaire),Articles pour enfants et puériculture,Arrêt respiratoire,TEX BABY,Du 01/09/2021 au 30/11/2022,Carrefour,"A l’usage, les boutons-pression peuvent percer le tissu et devenir des petits éléments détachables susceptibles d'être ingérés par des enfants de moins de 3 ans."
Alimentation,Lait et produits laitiers,Listeria monocytogenes ,Laiterie de la Vallée,Du 04/11/2022 au 26/11/2022,U Bernolsheim,présence de Listeria Monocytogenes
Alimentation,Produits de la pêche et d'aquaculture,"Parasites des poissons / céphalopodes marins (ex : Anisakis, Pseudoterranova)",CORMAREE,Du 01/12/2022 au 02/12/2022,LECLERC NEUFCHATEAU- NEOCADIS,Présence d'anisakis (parasite anisakiase).
Alimentation,Produits sucrés,Additifs et arômes dépassement des seuils de sécurité Substances allergisantes non déclarées,ibo!,Du 15/02/2022 au 20/10/2022,Voir liste ci-joint,Présence de  l'allergène SULFITES  non déclarée sur l'étiquetage
Alimentation,Produits sucrés,Additifs et arômes dépassement des seuils de sécurité Substances allergisantes non déclarées,BIONLY,Du 10/06/2022 au 26/10/2022,Voir liste des points de vente jointe,Présence de l'allergène sulfite non déclaré sur l'étiquetage
Alimentation,Herbes et épices,Bacillus cereus,SAINTE LUCIE,Du 08/07/2022 au 30/11/2022,"Auchan, Carrefour, Casino, Franprix, Leclerc, Intermarché, Système U",Présence de Bacillus cereus dans la matière
Alimentation,Herbes et épices,Bacillus cereus,SAINTE LUCIE,Du 01/06/2022 au 02/12/2022,"Auchan, Carrefour, Casino, Franprix, Leclerc, Intermarché, Système U",Présence de Bacillus cereus dans une des matières premières du mélange
Alimentation,Herbes et épices,Bacillus cereus,SAINTE LUCIE,Du 11/05/2022 au 30/11/2022,"Auchan, Carrefour, Casino, Franprix, Leclerc, Intermarché, Système U,",Présence de Bacillus cereus dans une des matières du mélange
Alimentation,Herbes et épices,Bacillus cereus,SAINTE LUCIE,Du 18/08/2022 au 15/11/2022,"Auchan, Carrefour, Casino, Franprix, Leclerc, Intermarché, Système U",Présence de Bacillus cereus dans une des matières premières du mélange
Alimentation,Herbes et épices,Bacillus cereus,SAINTE LUCIE,Du 15/11/2022 au 02/12/2022,"Auchan, Carrefour, Casino, Franprix, Leclerc, Intermarché, Système U",Présence de Bacillus cereus dans la matière
Alimentation,Herbes et épices,Bacillus cereus,SAINTE LUCIE,Du 12/10/2022 au 30/11/2022,"Auchan, Carrefour, Casino, Franprix, Leclerc, Intermarché, Système U",Présence de Bacillus cereus dans une des matières premières du mélange
Alimentation,Herbes et épices,Bacillus cereus,SAINTE LUCIE,Du 13/10/2022 au 02/12/2022,"Auchan, Carrefour, Casino, Franprix, Leclerc, Intermarché, Système U",Présence de Bacillus cereus dans la matière
Alimentation,Herbes et épices,Bacillus cereus,SAINTE LUCIE,Du 17/08/2022 au 02/12/2022,"Auchan, Carrefour, Casino, Franprix, Leclerc, Intermarché, Système U",Présence de Bacillus cereus dans la matière
Alimentation,Herbes et épices,Bacillus cereus,SAINTE LUCIE,Du 01/09/2022 au 02/12/2022,"Auchan, Carrefour, Casino, Franprix, Leclerc, Intermarché, Système U",Présence de Bacillus cereus dans la matière
Alimentation,Herbes et épices,Bacillus cereus,SAINTE LUCIE,Du 31/05/2022 au 02/12/2022,"Auchan, Carrefour, Casino, Cora, Franprix, Leclerc, Intermarché, Système U",Présence de Bacillus cereus dans une des matières premières du mélange
Alimentation,Viandes,Autre risque,MAISON MILHAU,Du 28/11/2022 au 02/12/2022,"INTERMARCHE, CARREFOUR, SCALANDES, SUPER U, SOCAMIL",SALMONELLA
Alimentation,Fruits et légumes,"Inertes (verre, métal, plastique, papier, textile…)",Simpl,Du 18/03/2022 au 05/12/2022,Carrefour,Suspicion de présence de morceau de verre
Alimentation,Viandes,Salmonella spp ,Véritable,Du 30/11/2022 au 05/12/2022,"Carrefour, Auchan, Cora et Système U",Présence de salmonelle
Alimentation,Viandes,Listeria monocytogenes ,SALAISONS ARTISANALE D'ARDECHE,Du 15/11/2022 au 24/11/2022,LECLERC,Risque de Listéria
Alimentation,Céréales et produits de boulangerie,"Inertes (verre, métal, plastique, papier, textile…)",E.LECLERC LA CRAU - Les mains dans la pâte,Du 06/10/2022 au 03/12/2022,E.LECLERC LA CRAU,Contrôle qualité non-conforme
Bébés-Enfants (hors alimentaire),Articles pour enfants et puériculture,Arrêt respiratoire,Barnabé aime le café,Du 01/02/2016 au 07/07/2022,boutiques multi marques,Risque de déformation ou de casse de petits éléments susceptibles d'être ingérés par des enfants de moins de 3 ans.
